time,transactTime,sym,venue,exchangeOrderId,displayQty,orderQty,lastQty,leavesQty,cumQty,clOrdId
2017-06-26D22:10:41.637205000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:10:41.637205000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:10:41.637205000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:10:41.637205000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:10:41.637205000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:10:41.637205000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:10:41.637205000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:12:32.642542000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:12:32.642542000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:12:32.642542000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:12:32.642542000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:12:32.642542000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:12:32.642542000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:12:32.642542000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:13:17.645320000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:13:17.645320000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:13:17.645320000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:13:17.645320000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:13:17.645320000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:13:17.645320000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:13:17.645320000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:14:23.649562000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:14:23.649562000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:14:23.649562000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:14:23.649562000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:14:23.649562000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:14:23.649562000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:14:23.649562000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:20:11.663191000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:20:11.663191000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:20:11.663191000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:20:11.663191000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:20:11.663191000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:20:11.663191000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:20:11.663191000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:22:26.671845000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:22:26.671845000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:22:26.671845000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:22:26.671845000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:22:26.671845000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:22:26.671845000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:22:26.671845000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:22:59.679516000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:22:59.679516000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:22:59.679516000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:22:59.679516000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:22:59.679516000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:22:59.679516000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:22:59.679516000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:43:08.726300000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:43:08.726300000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:43:08.726300000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:43:08.726300000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:43:08.726300000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:43:08.726300000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:43:08.726300000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:44:41.730907000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:44:41.730907000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:44:41.730907000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:44:41.730907000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:44:41.730907000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:44:41.730907000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:44:41.730907000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:47:11.737732000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
2017-06-26D22:47:11.737732000,1970-01-01D00:00:00.000000000,0,0,0,0,0,0,0,0,
